,Candidate,State,District,Office Type,Partisan Lean,Primary %,Won Primary,Gender,Race,Veteran?,LGBTQ?,Elected Official?,Self-Funder?,STEM?,Obama Alum?,white_pct,black_pct,hispanic_pct,nonwhite_pct,foreignborn_pct,female_pct,age29andunder_pct,age65andolder_pct,median_hh_inc,clf_unemploy_pct,lesshs_pct,lesscollege_pct,lesshs_whites_pct,lesscollege_whites_pct,rural_pct,Hillary_Won?,Obama_Won?
48,TJ Cox,CA,U.S. House California District 21,Representative,0.11869999999999999,1.0,Yes,Male,Nonwhite,No,No,No,No,Yes,No,0.32629997618652723,0.04286182547953322,0.5494927014757505,0.6737000238134727,0.2062463769428715,0.48351895969385544,0.48215513075235,0.10142938232468156,46445.25,0.1153277080571345,0.27900035114404753,0.84455632764158,0.09960493031238755,0.7598833045816061,0.11835691574231051,0,0
49,Andrew Janz,CA,U.S. House California District 22,Representative,-0.1341,0.7883000200000001,Yes,Male,Nonwhite,No,No,No,No,No,No,0.3042661054432335,0.030058559217716652,0.5751624545253751,0.6957338945567665,0.2192205172117695,0.5004605199623611,0.484998663380006,0.108127471532203,44376.0,0.1124772270685525,0.2902541645461525,0.8313797426068521,0.09605973506136911,0.7294134360095864,0.13142565928825248,1,0
50,Bobby Bliatout,CA,U.S. House California District 22,Representative,-0.1341,0.1226,No,Male,Nonwhite,No,No,No,No,No,No,0.3042661054432335,0.030058559217716652,0.5751624545253751,0.6957338945567665,0.2192205172117695,0.5004605199623611,0.484998663380006,0.108127471532203,44376.0,0.1124772270685525,0.2902541645461525,0.8313797426068521,0.09605973506136911,0.7294134360095864,0.13142565928825248,1,0
51,Ricardo Franco,CA,U.S. House California District 22,Representative,-0.1341,0.08909999800000001,No,Male,Nonwhite,No,No,No,No,Yes,No,0.3042661054432335,0.030058559217716652,0.5751624545253751,0.6957338945567665,0.2192205172117695,0.5004605199623611,0.484998663380006,0.108127471532203,44376.0,0.1124772270685525,0.2902541645461525,0.8313797426068521,0.09605973506136911,0.7294134360095864,0.13142565928825248,1,0
52,Kurtis Wilson,CA,U.S. House California District 23,Representative,-0.25379999,0.048400002000000004,No,Male,Nonwhite,No,No,No,No,No,No,0.3095109314706043,0.04817340538617774,0.5431933932155173,0.6904890685293956,0.257663897419102,0.49802882956133965,0.4631895211330673,0.10832392865301442,50176.333333333336,0.10478657576153606,0.26836409688953533,0.7985971380790581,0.08898263137663306,0.6873742175599402,0.08763726471545942,1,1
53,Mary Helen Barro,CA,U.S. House California District 23,Representative,-0.25379999,0.18200001,No,Female,Nonwhite,No,No,No,No,No,No,0.3095109314706043,0.04817340538617774,0.5431933932155173,0.6904890685293956,0.257663897419102,0.49802882956133965,0.4631895211330673,0.10832392865301442,50176.333333333336,0.10478657576153606,0.26836409688953533,0.7985971380790581,0.08898263137663306,0.6873742175599402,0.08763726471545942,1,1
54,Tatiana Matta,CA,U.S. House California District 23,Representative,-0.25379999,0.42720001,Yes,Female,Nonwhite,No,No,No,No,No,No,0.3095109314706043,0.04817340538617774,0.5431933932155173,0.6904890685293956,0.257663897419102,0.49802882956133965,0.4631895211330673,0.10832392865301442,50176.333333333336,0.10478657576153606,0.26836409688953533,0.7985971380790581,0.08898263137663306,0.6873742175599402,0.08763726471545942,1,1
55,Wendy Reed,CA,U.S. House California District 23,Representative,-0.25379999,0.3425,No,Female,White,No,No,No,No,No,No,0.3095109314706043,0.04817340538617774,0.5431933932155173,0.6904890685293956,0.257663897419102,0.49802882956133965,0.4631895211330673,0.10832392865301442,50176.333333333336,0.10478657576153606,0.26836409688953533,0.7985971380790581,0.08898263137663306,0.6873742175599402,0.08763726471545942,1,1
56,Bryan Caforio,CA,U.S. House California District 25,Representative,0.0202,0.38259997999999995,No,Male,White,No,No,No,No,No,No,0.366869792098571,0.0477752466850192,0.45118252048452645,0.633130207901429,0.28682760666884854,0.506116242269784,0.4104270469236305,0.12898591230123,68272.5,0.08200165363069029,0.19427778235244553,0.6851801544193296,0.0473416131800909,0.55320350738715,0.018648852377886813,1,1
57,Jess Phoenix,CA,U.S. House California District 25,Representative,0.0202,0.1324,No,Female,White,No,No,No,No,Yes,No,0.366869792098571,0.0477752466850192,0.45118252048452645,0.633130207901429,0.28682760666884854,0.506116242269784,0.4104270469236305,0.12898591230123,68272.5,0.08200165363069029,0.19427778235244553,0.6851801544193296,0.0473416131800909,0.55320350738715,0.018648852377886813,1,1
